name,State,frequency,state_percentage
Aayan,TX,261,0.00104
Aayan,VA,92,0.00122
Aayan,WA,7,0.00013
Aayansh,CA,44,0.00013
Aayansh,IL,5,3e-05
Aayansh,NJ,33,0.00036
Aayansh,OH,25,0.00016
Aayansh,PA,10,6e-05
Aayansh,TX,51,0.0002
Aayat,CA,50,0.00015
Aayat,GA,5,5e-05
Aayat,MD,5,0.0001
Aayat,NJ,20,0.00022
Aayat,NY,79,0.00031
Aayat,TX,49,0.00019
Aayat,VA,13,0.00017
Aayden,AL,19,0.00031
Aayden,AZ,16,0.0004
Aayden,CA,167,0.0005
Aayden,CO,5,0.00013
Aayden,CT,5,0.00014
Aayden,FL,100,0.00089
Aayden,GA,36,0.00039
Aayden,IL,32,0.0002
Aayden,IN,11,0.00014
Aayden,LA,19,0.00032
Aayden,MD,11,0.00022
Aayden,MI,14,0.00011
Aayden,MO,5,7e-05
Aayden,NC,30,0.00032
Aayden,NJ,24,0.00026
Aayden,NY,60,0.00023
Aayden,OH,22,0.00014
Aayden,OK,5,0.00011
Aayden,PA,11,6e-05
Aayden,SC,11,0.00023
Aayden,TN,15,0.00021
Aayden,TX,194,0.00077
Aayden,VA,29,0.00039
Aayden,WA,5,9e-05
Aayla,AZ,5,0.00012
Aayla,CA,55,0.00017
Aayla,FL,7,6e-05
Aayla,IN,6,8e-05
Aayla,MI,5,4e-05
Aayla,NC,5,5e-05
Aayla,NY,5,2e-05
Aayla,TX,17,7e-05
Aayla,VA,5,7e-05
Aayra,CA,44,0.00013
Aayra,IL,5,3e-05
Aayra,NJ,6,7e-05
Aayra,TX,29,0.00012
Aayra,WA,5,9e-05
Aayush,CA,220,0.00066
Aayush,FL,10,9e-05
Aayush,GA,11,0.00012
Aayush,IL,59,0.00036
Aayush,MA,27,0.00033
Aayush,MI,5,4e-05
Aayush,NC,5,5e-05
Aayush,NJ,140,0.00153
Aayush,NY,25,0.0001
Aayush,OH,38,0.00025
Aayush,PA,21,0.00012
Aayush,TX,110,0.00044
Aayush,VA,18,0.00024
Aayushi,CA,6,2e-05
Ab,CA,54,0.00016
Ab,TX,41,0.00016
Abagail,AL,43,0.0007
Abagail,AR,64,0.00178
Abagail,AZ,33,0.00082
Abagail,CA,259,0.00078
Abagail,CO,69,0.00174
Abagail,FL,197,0.00175
Abagail,GA,118,0.00127
Abagail,IA,50,0.00114
Abagail,IL,198,0.00121
Abagail,IN,196,0.00249
Abagail,KS,38,0.00108
Abagail,KY,142,0.00246
Abagail,LA,62,0.00103
Abagail,MA,23,0.00028
Abagail,MD,41,0.00082
Abagail,MI,238,0.00189
Abagail,MN,43,0.0007
Abagail,MO,144,0.00195
Abagail,MS,18,0.00043
Abagail,NC,155,0.00163
