name,sex,frequency,year,percentage,rank,overall_rank,overall_percentage
Emily,M,31,2006,0.0015,3405,4,0.542
Ethan,F,26,2006,0.0014,5285,5,0.5194
Jacob,M,24308,2007,1.1713,1,1,0.6089
Michael,M,22024,2007,1.0613,2,2,0.5522
Ethan,M,21039,2007,1.0138,3,3,0.5267
Joshua,M,20667,2007,0.9959,4,4,0.518
Daniel,M,20264,2007,0.9765,5,5,0.5076
Emily,F,19366,2007,1.0074,1,8,0.4851
Isabella,F,19143,2007,0.9958,2,9,0.4794
Emma,F,18388,2007,0.9565,3,13,0.4605
Ava,F,18053,2007,0.9391,4,15,0.4519
Madison,F,17968,2007,0.9346,5,16,0.4512
Michael,F,51,2007,0.0027,3314,2,0.5522
Joshua,F,39,2007,0.002,4013,4,0.518
Jacob,F,34,2007,0.0018,4409,1,0.6089
Daniel,F,30,2007,0.0016,4846,5,0.5076
Ethan,F,17,2007,0.0009,7495,3,0.5267
Jacob,M,22622,2008,1.109,1,1,0.5763
Michael,M,20651,2008,1.0123,2,2,0.5268
Ethan,M,20221,2008,0.9913,3,3,0.5154
Joshua,M,19228,2008,0.9426,4,4,0.4898
Daniel,M,19030,2008,0.9329,5,5,0.4854
Emma,F,18826,2008,0.9957,1,7,0.4793
Isabella,F,18628,2008,0.9852,2,9,0.4746
Emily,F,17445,2008,0.9227,3,14,0.4445
Olivia,F,17087,2008,0.9037,4,15,0.4355
Ava,F,17050,2008,0.9018,5,17,0.4342
Michael,F,55,2008,0.0029,3110,2,0.5268
Daniel,F,50,2008,0.0026,3335,5,0.4854
Ethan,F,36,2008,0.0019,4299,3,0.5154
Jacob,F,29,2008,0.0015,5067,1,0.5763
Joshua,F,25,2008,0.0013,5645,4,0.4898
Isabella,F,22319,2009,1.2151,1,1,0.5849
Jacob,M,21202,2009,1.069,1,2,0.5557
Ethan,M,19855,2009,1.0011,2,3,0.5204
Michael,M,18960,2009,0.956,3,5,0.4975
Alexander,M,18253,2009,0.9203,4,6,0.4787
William,M,17935,2009,0.9043,5,7,0.4699
Emma,F,17910,2009,0.975,2,8,0.4694
Olivia,F,17443,2009,0.9496,3,11,0.4571
Jayden,M,17313,2009,0.8729,8,4,0.4995
Sophia,F,16951,2009,0.9228,4,13,0.444
Ava,F,15877,2009,0.8644,5,18,0.4162
Jayden,F,1767,2009,0.0962,187,4,0.4995
Michael,F,45,2009,0.0024,3601,5,0.4975
Jacob,F,27,2009,0.0015,5279,2,0.5557
Isabella,M,27,2009,0.0014,3858,1,0.5849
Ethan,F,24,2009,0.0013,5766,3,0.5204
Isabella,F,22935,2010,1.2904,1,1,0.6214
Jacob,M,22154,2010,1.1548,1,2,0.6002
Sophia,F,20655,2010,1.1621,2,3,0.5596
Ethan,M,18017,2010,0.9392,2,5,0.488
Michael,M,17381,2010,0.906,3,6,0.4713
Emma,F,17364,2010,0.977,3,7,0.4703
Jayden,M,17200,2010,0.8966,4,4,0.505
William,M,17071,2010,0.8899,5,8,0.4625
Olivia,F,17037,2010,0.9586,4,9,0.4617
Ava,F,15442,2010,0.8688,5,16,0.4183
Jayden,F,1463,2010,0.0823,212,4,0.505
Isabella,M,30,2010,0.0016,3570,1,0.6214
Jacob,F,29,2010,0.0016,4900,2,0.6002
Sophia,M,26,2010,0.0014,3974,3,0.5596
Ethan,F,19,2010,0.0011,6730,5,0.488
Sophia,F,21861,2011,1.2429,1,1,0.5983
Jacob,M,20401,2011,1.0743,1,2,0.5584
Isabella,F,19930,2011,1.1332,2,3,0.5456
Mason,M,19528,2011,1.0283,2,4,0.5363
Emma,F,18822,2011,1.0702,3,5,0.5155
William,M,17359,2011,0.9141,3,7,0.4753
Olivia,F,17334,2011,0.9856,4,8,0.4744
Jayden,M,17017,2011,0.8961,4,6,0.4946
Noah,M,16881,2011,0.8889,5,9,0.4637
Ava,F,15514,2011,0.8821,5,14,0.4246
Mason,F,89,2011,0.0051,2152,4,0.5363
Emma,M,33,2011,0.0017,3325,5,0.5155
Isabella,M,26,2011,0.0014,3932,3,0.5456
Jacob,F,23,2011,0.0013,5813,2,0.5584
Sophia,M,23,2011,0.0012,4334,1,0.5983
Sophia,F,22335,2012,1.2685,1,1,0.6112
Emma,F,20972,2012,1.1911,2,2,0.574
Isabella,F,19134,2012,1.0867,3,3,0.5237
Jacob,M,19104,2012,1.0073,1,4,0.5231
Mason,M,18993,2012,1.0014,2,5,0.5216
Ethan,M,17694,2012,0.9329,3,6,0.4844
Noah,M,17378,2012,0.9163,4,7,0.4773
Olivia,F,17332,2012,0.9844,4,8,0.4744
William,M,16914,2012,0.8918,5,10,0.463
Ava,F,15548,2012,0.883,5,13,0.4257
Mason,F,83,2012,0.0047,2280,5,0.5216
Jacob,F,26,2012,0.0015,5308,4,0.5231
Emma,M,20,2012,0.0011,4747,2,0.574
Isabella,M,18,2012,0.0009,5114,3,0.5237
Sophia,M,18,2012,0.0009,5215,1,0.6112
Sophia,F,21253,2013,1.2114,1,1,0.5837
Emma,F,20966,2013,1.195,2,2,0.5756
Olivia,F,18453,2013,1.0518,3,3,0.5068
Noah,M,18287,2013,0.9669,1,4,0.5038
Jacob,M,18196,2013,0.9621,2,5,0.4997
Liam,M,18153,2013,0.9598,3,6,0.4985
Mason,M,17727,2013,0.9373,4,7,0.4883
Isabella,F,17679,2013,1.0077,4,8,0.4854
William,M,16665,2013,0.8812,5,9,0.4575
Ava,F,15271,2013,0.8704,5,13,0.4193
Noah,F,80,2013,0.0046,2322,4,0.5038
Sophia,M,26,2013,0.0014,3946,1,0.5837
Olivia,M,24,2013,0.0013,4145,3,0.5068
Jacob,F,23,2013,0.0013,5721,5,0.4997
Emma,M,18,2013,0.001,5033,2,0.5756
Emma,F,20962,2014,1.1737,1,1,0.5659
Olivia,F,19836,2014,1.1107,2,2,0.5358
Noah,M,19338,2014,1.007,1,3,0.5246
Sophia,F,18642,2014,1.0438,3,4,0.5035
Liam,M,18484,2014,0.9625,2,5,0.4996
Mason,M,17221,2014,0.8967,3,6,0.4667
Isabella,F,17133,2014,0.9593,4,7,0.4629
Jacob,M,16916,2014,0.8808,4,8,0.4568
William,M,16847,2014,0.8772,5,9,0.4552
Ava,F,15725,2014,0.8805,5,11,0.4247
Noah,F,107,2014,0.006,1886,3,0.5246
Liam,F,32,2014,0.0018,4512,5,0.4996
Olivia,M,23,2014,0.0012,4355,2,0.5358
Sophia,M,19,2014,0.001,5034,4,0.5035
Emma,M,12,2014,0.0006,6757,1,0.5659
Emma,F,20485,2015,1.1478,1,1,0.5538
Olivia,F,19726,2015,1.1053,2,3,0.5332
Noah,M,19678,2015,1.0269,1,2,0.5354
Liam,M,18407,2015,0.9606,2,4,0.4979
Sophia,F,17451,2015,0.9778,3,5,0.4719
Mason,M,16667,2015,0.8698,3,6,0.4528
Ava,F,16410,2015,0.9195,4,7,0.4439
Jacob,M,15999,2015,0.8349,4,8,0.4329
William,M,15945,2015,0.8321,5,9,0.4312
Isabella,F,15661,2015,0.8775,5,10,0.4237
Noah,F,137,2015,0.0077,1590,2,0.5354
Liam,F,21,2015,0.0012,6151,4,0.4979
Sophia,M,14,2015,0.0007,6263,5,0.4719
Emma,M,10,2015,0.0005,7652,1,0.5538
Olivia,M,9,2015,0.0005,8527,3,0.5332
Emma,F,19548,2016,1.1035,1,1,0.5333
Olivia,F,19409,2016,1.0956,2,2,0.5295
Noah,M,19187,2016,1.0113,1,3,0.5266
Liam,M,18272,2016,0.9631,2,4,0.4986
Ava,F,16347,2016,0.9228,3,5,0.4459
Sophia,F,16182,2016,0.9135,4,6,0.4416
William,M,15808,2016,0.8332,3,7,0.4314
Mason,M,15286,2016,0.8057,4,8,0.4191
James,M,14916,2016,0.7862,5,9,0.4084
Isabella,F,14861,2016,0.8389,5,10,0.4054
Noah,F,134,2016,0.0076,1634,3,0.5266
Liam,F,19,2016,0.0011,6571,4,0.4986
Emma,M,18,2016,0.0009,5189,1,0.5333
Olivia,M,16,2016,0.0008,5716,2,0.5295
Ava,M,11,2016,0.0006,7188,5,0.4459
Emma,F,19870,2017,1.1513,1,1,0.556
Liam,M,18865,2017,1.0196,1,2,0.5286
Olivia,F,18777,2017,1.088,2,3,0.5254
Noah,M,18502,2017,0.9999,2,4,0.5223
Ava,F,16015,2017,0.9279,3,5,0.4482
Isabella,F,15254,2017,0.8838,4,6,0.4269
William,M,15042,2017,0.8129,3,8,0.4211
Sophia,F,14936,2017,0.8654,5,9,0.4182
James,M,14357,2017,0.7759,4,10,0.4036
Logan,M,14057,2017,0.7597,5,7,0.424
Noah,F,176,2017,0.0102,1329,4,0.5223
Liam,F,38,2017,0.0022,3960,2,0.5286
Emma,M,14,2017,0.0008,6129,1,0.556
Ava,M,13,2017,0.0007,6358,5,0.4482
Olivia,M,12,2017,0.0006,6990,3,0.5254
Liam,M,19974,2018,1.1002,1,1,0.5688
Emma,F,18818,2018,1.1067,1,2,0.5355
Noah,M,18429,2018,1.0151,2,3,0.5291
Olivia,F,18055,2018,1.0618,2,4,0.5138
Ava,F,15028,2018,0.8838,3,5,0.4277
William,M,14645,2018,0.8067,3,6,0.4169
Isabella,F,14568,2018,0.8567,4,7,0.4148
Sophia,F,14004,2018,0.8236,5,8,0.3988
James,M,13642,2018,0.7514,4,9,0.3893
Oliver,M,13499,2018,0.7436,5,11,0.3845
Noah,F,175,2018,0.0103,1308,3,0.5291
Liam,F,24,2018,0.0014,5397,1,0.5688
Ava,M,10,2018,0.0006,7669,5,0.4277
Emma,M,9,2018,0.0005,8357,2,0.5355
Olivia,M,9,2018,0.0005,8636,4,0.5138
Liam,M,20622,2019,1.1499,1,1,0.595
Noah,M,19172,2019,1.0691,2,2,0.5587
Olivia,F,18569,2019,1.1069,1,3,0.5353
Emma,F,17221,2019,1.0265,2,4,0.4965
Ava,F,14544,2019,0.867,3,5,0.419
Oliver,M,13964,2019,0.7786,3,6,0.4029
Sophia,F,13813,2019,0.8234,4,7,0.3984
William,M,13649,2019,0.7611,4,8,0.3936
Elijah,M,13428,2019,0.7488,5,9,0.3875
Isabella,F,13404,2019,0.799,5,10,0.3866
Noah,F,219,2019,0.0131,1115,2,0.5587
Liam,F,30,2019,0.0018,4611,1,0.595
Olivia,M,12,2019,0.0007,7063,3,0.5353
Emma,M,11,2019,0.0006,7304,4,0.4965
Liam,M,19858,2020,1.1511,1,1,0.5954
Noah,M,18451,2020,1.0696,2,2,0.5615
Olivia,F,17682,2020,1.0945,1,3,0.5297
Emma,F,15714,2020,0.9727,2,4,0.471
Oliver,M,14275,2020,0.8275,3,5,0.428
Elijah,M,13224,2020,0.7666,4,6,0.3968
Ava,F,13197,2020,0.8169,3,7,0.3954
Charlotte,F,13097,2020,0.8107,4,9,0.3923
Sophia,F,13095,2020,0.8106,5,8,0.3923
William,M,12673,2020,0.7346,5,11,0.3798
Noah,F,308,2020,0.0191,874,2,0.5615
Liam,F,33,2020,0.002,4229,1,0.5954
Oliver,F,23,2020,0.0014,5448,5,0.428
Emma,M,19,2020,0.0011,4906,4,0.471
Olivia,M,13,2020,0.0008,6533,3,0.5297
Liam,M,20407,2021,1.1673,1,1,0.6032
Noah,M,18906,2021,1.0814,2,2,0.5704
Olivia,F,17841,2021,1.0881,1,3,0.5269
Emma,F,15543,2021,0.9479,2,4,0.4592
Oliver,M,14707,2021,0.8412,3,5,0.4349
Charlotte,F,13362,2021,0.8149,3,6,0.3948
Amelia,F,13032,2021,0.7948,4,7,0.3849
Ava,F,12867,2021,0.7847,5,8,0.38
Elijah,M,12825,2021,0.7336,4,9,0.3794
James,M,12464,2021,0.7129,5,11,0.3699
Noah,F,418,2021,0.0255,691,2,0.5704
Liam,F,30,2021,0.0018,4566,1,0.6032
Oliver,F,26,2021,0.0016,5059,5,0.4349
Emma,M,14,2021,0.0008,6114,4,0.4592
Olivia,M,9,2021,0.0005,8648,3,0.5269
Liam,M,20563,2022,1.1788,1,1,0.6086
Noah,M,18735,2022,1.074,2,2,0.5679
Olivia,F,16654,2022,1.0163,1,3,0.4927
Oliver,M,15161,2022,0.8691,3,4,0.449
Emma,F,14498,2022,0.8847,2,5,0.429
Charlotte,F,12944,2022,0.7899,3,6,0.3829
Amelia,F,12409,2022,0.7572,4,7,0.3672
Sophia,F,12375,2022,0.7551,5,8,0.3661
James,M,12109,2022,0.6942,4,9,0.3604
Elijah,M,12075,2022,0.6922,5,10,0.3579
Noah,F,479,2022,0.0292,618,2,0.5679
Oliver,F,28,2022,0.0017,4871,4,0.449
Liam,F,26,2022,0.0016,5103,1,0.6086
Olivia,M,16,2022,0.0009,5798,3,0.4927
Emma,M,15,2022,0.0009,5945,5,0.429
Liam,M,20886,2023,1.2224,1,1,0.6317
Noah,M,19088,2023,1.1172,2,2,0.5903
Olivia,F,15313,2023,0.9555,1,3,0.4626
Oliver,M,14782,2023,0.8652,3,4,0.4473
Emma,F,13579,2023,0.8473,2,5,0.4106
Charlotte,F,12628,2023,0.7879,3,6,0.3818
Amelia,F,12352,2023,0.7707,4,7,0.3732
Sophia,F,11984,2023,0.7478,5,8,0.3622
James,M,11727,2023,0.6864,4,9,0.3565
Elijah,M,11503,2023,0.6733,5,10,0.348
Noah,F,457,2023,0.0285,642,2,0.5903
Liam,F,30,2023,0.0019,4615,1,0.6317
Oliver,F,28,2023,0.0017,4837,4,0.4473
Emma,M,17,2023,0.001,5517,5,0.4106
Olivia,M,6,2023,0.0004,11865,3,0.4626
Liam,M,22164,2024,1.2921,1,1,0.6669
Noah,M,20337,2024,1.1856,2,2,0.6272
Oliver,M,15343,2024,0.8945,3,3,0.4617
Olivia,F,14718,2024,0.9124,1,4,0.4427
Emma,F,13485,2024,0.8359,2,5,0.4056
Amelia,F,12740,2024,0.7897,3,6,0.383
Charlotte,F,12552,2024,0.7781,4,7,0.3775
Mia,F,12113,2024,0.7509,5,8,0.3645
Theodore,M,12011,2024,0.7002,4,10,0.3612
James,M,11793,2024,0.6875,5,11,0.3563
Noah,F,539,2024,0.0334,561,2,0.6272
Liam,F,34,2024,0.0021,4239,1,0.6669
Oliver,F,25,2024,0.0015,5241,3,0.4617
Emma,M,16,2024,0.0009,5710,5,0.4056
Olivia,M,16,2024,0.0009,5811,4,0.4427
