sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
M,1952,Unknown,6,MI,496,0.007,1162,0.004
M,1953,Unknown,7,MI,478,0.008,1112,0.004
M,1954,Unknown,7,MI,481,0.007,1135,0.004
M,1955,Ulysses,6,MI,552,0.006,1288,0.003
M,1955,Unknown,5,MI,601,0.005,1415,0.003
M,1966,Ulysses,6,MI,556,0.008,1341,0.004
M,1967,Ulysses,5,MI,594,0.006,1475,0.003
M,1968,Ulysses,5,MI,592,0.007,1461,0.003
M,1969,Ulysses,5,MI,636,0.006,1557,0.003
M,1970,Ulysses,6,MI,612,0.007,1458,0.004
M,1971,Ulysses,12,MI,439,0.016,1009,0.008
M,1976,Uriah,7,MI,544,0.011,1271,0.006
M,1976,Ulysses,5,MI,668,0.008,1583,0.004
M,1977,Ulysses,6,MI,608,0.009,1441,0.005
M,1980,Uriah,7,MI,552,0.01,1336,0.005
M,1986,Ulysses,5,MI,687,0.008,1654,0.004
M,1989,Unknown,11,MI,501,0.016,1117,0.008
M,1990,Unknown,53,MI,189,0.075,383,0.04
M,1990,Uriah,5,MI,796,0.007,1913,0.004
M,1991,Unknown,19,MI,373,0.028,790,0.015
M,1992,Unknown,17,MI,403,0.026,860,0.014
M,1993,Unknown,17,MI,409,0.027,856,0.014
M,1994,Unknown,5,MI,853,0.008,1968,0.004
M,1995,Unknown,5,MI,836,0.008,1898,0.004
M,1997,Uriah,11,MI,529,0.019,1168,0.01
M,1998,Uriah,5,MI,916,0.008,2053,0.004
M,1999,Ulysses,6,MI,847,0.01,1874,0.005
M,1999,Uriah,5,MI,948,0.008,2133,0.005
M,2000,Uriah,6,MI,848,0.01,1908,0.005
M,2000,Ulises,5,MI,948,0.008,2162,0.004
M,2001,Uriel,6,MI,862,0.01,1895,0.006
M,2002,Umar,6,MI,849,0.011,1872,0.006
M,2002,Usman,5,MI,974,0.009,2155,0.005
M,2003,Uriel,7,MI,800,0.012,1756,0.007
M,2003,Ulises,6,MI,892,0.011,1962,0.006
M,2003,Uriah,5,MI,1011,0.009,2247,0.005
M,2004,Uriel,9,MI,687,0.016,1485,0.009
M,2005,Ulises,7,MI,834,0.013,1787,0.007
M,2005,Uriel,7,MI,834,0.013,1787,0.007
M,2006,Ulises,7,MI,826,0.013,1799,0.007
M,2006,Uriah,5,MI,1068,0.009,2346,0.005
M,2007,Uriel,8,MI,778,0.015,1666,0.008
M,2007,Ulises,6,MI,943,0.011,2057,0.006
M,2008,Uriel,11,MI,624,0.021,1323,0.011
M,2008,Uriah,7,MI,862,0.014,1858,0.007
M,2008,Urijah,6,MI,947,0.012,2054,0.006
M,2008,Ulises,5,MI,1079,0.01,2333,0.005
M,2008,Ulysses,5,MI,1079,0.01,2333,0.005
M,2009,Urijah,21,MI,388,0.043,788,0.023
M,2009,Ulises,9,MI,700,0.018,1516,0.01
M,2009,Uriah,9,MI,700,0.018,1516,0.01
M,2009,Uriel,5,MI,1041,0.01,2312,0.005
M,2010,Urijah,11,MI,621,0.023,1319,0.012
M,2010,Uriah,10,MI,669,0.021,1405,0.011
M,2010,Uriel,8,MI,785,0.017,1656,0.009
M,2010,Ulises,6,MI,932,0.012,2007,0.007
M,2011,Urijah,10,MI,652,0.021,1390,0.011
M,2011,Uriah,8,MI,763,0.017,1656,0.009
M,2011,Umar,5,MI,1055,0.01,2298,0.006
M,2012,Uriah,9,MI,710,0.019,1508,0.01
M,2012,Urijah,7,MI,839,0.015,1795,0.008
M,2012,Ulises,5,MI,1020,0.01,2232,0.006
M,2013,Urijah,11,MI,616,0.023,1316,0.012
M,2013,Uriah,9,MI,705,0.019,1517,0.01
M,2013,Uriel,5,MI,1082,0.01,2330,0.006
M,2014,Uriah,19,MI,430,0.039,892,0.021
M,2014,Uriel,9,MI,731,0.018,1552,0.01
M,2014,Ulises,6,MI,959,0.012,2059,0.007
M,2014,Urijah,5,MI,1067,0.01,2331,0.005
M,2015,Uriah,9,MI,758,0.019,1589,0.01
M,2015,Uriel,5,MI,1077,0.01,2350,0.006
M,2016,Uriah,18,MI,457,0.038,942,0.02
M,2016,Urijah,5,MI,1098,0.01,2375,0.006
M,2017,Uriah,22,MI,392,0.047,795,0.025
M,2017,Urijah,5,MI,1105,0.011,2407,0.006
M,2018,Uriah,9,MI,742,0.02,1576,0.01
M,2018,Ulysses,7,MI,872,0.015,1877,0.008
M,2019,Uriah,14,MI,542,0.032,1134,0.017
M,2019,Umar,7,MI,869,0.016,1831,0.008
M,2019,Uriel,6,MI,960,0.014,2035,0.007
M,2019,Ulises,5,MI,1064,0.011,2299,0.006
M,2020,Uriah,10,MI,709,0.023,1459,0.012
M,2020,Uriel,5,MI,1087,0.012,2304,0.006
M,2020,Urijah,5,MI,1087,0.012,2304,0.006
M,2021,Uriah,15,MI,532,0.035,1085,0.018
M,2021,Uriel,7,MI,894,0.016,1853,0.009
M,2021,Unknown,5,MI,1130,0.012,2369,0.006
M,2022,Uriah,15,MI,524,0.036,1080,0.019
M,2022,Unknown,10,MI,704,0.024,1459,0.013
M,2022,Ulysses,6,MI,1002,0.014,2066,0.008
M,2022,Uriel,5,MI,1118,0.012,2332,0.006
M,2023,Unknown,13,MI,575,0.032,1181,0.017
M,2023,Uriel,7,MI,899,0.017,1867,0.009
M,2023,Umar,5,MI,1115,0.012,2330,0.007
M,2024,Uriah,15,MI,528,0.038,1078,0.02
M,2024,Unknown,7,MI,870,0.018,1840,0.009
M,2024,Uriel,5,MI,1091,0.013,2302,0.007
M,2024,Usman,5,MI,1091,0.013,2302,0.007
M,2024,Uthman,5,MI,1091,0.013,2302,0.007
F,1913,Una,6,MO,340,0.035,609,0.019
F,1914,Una,7,MO,334,0.036,609,0.019
F,1914,Ursula,5,MO,403,0.026,730,0.014
F,1915,Ursula,7,MO,392,0.026,723,0.014
F,1916,Una,9,MO,356,0.031,652,0.017
F,1918,Una,9,MO,369,0.029,678,0.016
F,1918,Ula,6,MO,468,0.02,845,0.01
F,1918,Ursula,5,MO,515,0.016,929,0.009
F,1919,Una,11,MO,306,0.038,567,0.02
F,1920,Una,8,MO,383,0.026,717,0.014
F,1920,Ursula,5,MO,491,0.016,911,0.009
F,1921,Una,6,MO,451,0.019,833,0.01
F,1922,Una,12,MO,297,0.039,559,0.02
F,1923,Una,7,MO,416,0.023,763,0.012
F,1924,Una,10,MO,344,0.031,635,0.016
F,1925,Una,8,MO,398,0.026,707,0.013
F,1925,Uldine,5,MO,491,0.016,909,0.008
F,1929,Una,5,MO,447,0.018,818,0.009
F,1935,Una,5,MO,431,0.019,795,0.009
F,1936,Una,6,MO,400,0.023,728,0.012
F,1941,Una,5,MO,446,0.017,822,0.008
F,1949,Unknown,6,MO,472,0.015,838,0.007
F,1950,Unknown,6,MO,466,0.015,841,0.007
F,1952,Unknown,10,MO,379,0.024,689,0.012
F,1954,Unknown,8,MO,454,0.018,806,0.009
F,1956,Unknown,11,MO,380,0.025,692,0.012
F,1962,Ursula,6,MO,572,0.014,1008,0.007
F,1964,Ursula,5,MO,630,0.013,1090,0.006
F,1967,Ursula,6,MO,540,0.018,944,0.009
F,1968,Ursula,6,MO,532,0.018,932,0.009
F,1970,Ursula,5,MO,619,0.014,1086,0.007
F,1971,Ursula,5,MO,648,0.015,1134,0.007
F,1976,Ursula,6,MO,542,0.02,955,0.01
F,1977,Ursula,6,MO,554,0.019,970,0.009
F,1989,Unknown,24,MO,219,0.074,424,0.034
F,1996,Unique,8,MO,526,0.027,976,0.012
F,1998,Unique,6,MO,688,0.02,1242,0.009
F,1999,Unique,5,MO,762,0.017,1395,0.008
F,2000,Unique,5,MO,771,0.017,1421,0.008
F,2001,Unique,5,MO,779,0.017,1451,0.008
F,2003,Unique,8,MO,586,0.028,1103,0.013
F,2005,Unique,10,MO,520,0.034,980,0.016
F,2008,Unique,7,MO,732,0.024,1395,0.011
F,2009,Unique,9,MO,604,0.032,1153,0.015
F,2012,Unique,5,MO,935,0.019,1723,0.009
F,2017,Unique,6,MO,820,0.023,1568,0.011
F,2018,Unique,6,MO,833,0.023,1574,0.011
F,2021,Unique,5,MO,947,0.02,1801,0.009
M,1917,Urban,8,MO,319,0.033,708,0.015
M,1918,Ulysses,7,MO,348,0.026,780,0.012
M,1918,Uel,5,MO,415,0.019,929,0.009
M,1919,Ulysses,5,MO,414,0.02,913,0.009
